plant,species,ontogeny,total,heteroblasty,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15
Psub13,suberosa,1,14,14,-13.46713288,336.2001709,-14.99481581,324.4778273,-0.077738921,294.9776961,35.38089164,297.8808296,48.7558895,311.283854,49.29743206,325.1867639,-409.232725,129.9029444,-493.1773309,64.62379054,-1000.84405,-429.7187748,-140.7844566,-17.65146825,51.59178602,-1458.246186,218.6356061,-29.50935135,879.700984,-436.5624918,421.2472509,112.5493838,367.96841,174.6050121
Psub13,suberosa,2,14,13,-12.28019192,242.8075043,-16.59213756,233.5477236,-7.260357723,208.4196073,15.02138991,210.5634663,21.58755213,230.0412379,21.86882493,238.173238,-314.5846891,213.0619644,-438.6029092,144.6145535,-1125.208864,-288.8408611,-224.7013772,-97.21505901,67.41264017,-1397.070036,196.6364913,-57.04562754,1048.242942,-297.3625974,433.6158401,185.1553996,334.8448457,231.1494864
Psub13,suberosa,3,14,12,-41.48026587,255.5263528,-40.11793723,245.3122878,-38.40496696,230.3781501,-11.06799887,238.3347333,-7.153983889,251.3824099,-8.68562366,259.4440276,-402.6730865,174.5665736,-483.208788,141.9177237,-1035.110039,-321.4588844,-290.5545594,-107.1390706,6.037984792,-1347.629054,206.6372376,-63.94901304,1100.845039,-259.9016292,542.4691667,130.5425594,502.467822,172.6728326
Psub13,suberosa,4,14,11,-22.82820546,271.113868,-21.11091452,260.1896744,-15.78216675,242.669247,3.345394852,244.8926938,12.53039002,259.0974894,10.43352646,269.2339683,-340.8899419,227.9474799,-414.0846018,177.6554799,-1071.012287,-405.1507092,-247.8040715,-136.7261784,2.598912515,-1431.735669,205.5180814,-91.66431593,1024.137114,-249.1055609,469.410523,161.8841922,405.5382471,199.6983409
Psub13,suberosa,10,14,5,-19.53197699,203.3686852,-27.45044864,189.8788666,-16.0940556,177.9605171,11.65124208,172.8439758,22.31836988,192.843365,16.88432683,202.5117456,-503.5419086,220.4768902,-601.8753364,179.6660413,-1092.426029,-158.7516722,-303.1355514,-186.2238344,42.53675071,-1248.434502,317.7534188,-199.550967,1090.099515,-139.8613929,569.2328048,175.1248183,493.5788792,218.1474634
Psub13,suberosa,11,14,4,-14.30912983,198.9150588,-16.89668269,189.8235685,0.675524266,173.1374059,25.3676187,170.8594745,38.24703425,185.1317166,34.06667107,194.7219897,-545.3729102,218.5727519,-623.5782678,179.7411115,-1163.618733,-295.6458097,-311.3271536,-205.9383519,49.9702888,-926.3367435,298.4092395,-224.4027324,1175.319976,-297.9891896,580.8802202,196.0484593,472.1663051,243.3612905
Psub13,suberosa,12,14,3,-24.00973091,238.0627558,-25.9712158,223.7746625,-14.10988222,199.3640449,11.83877297,209.7040719,26.04599986,222.5294169,19.86038773,234.7333315,-509.5535328,165.5502958,-570.4281039,108.1079194,-1155.457533,-327.4917303,-291.1290851,-241.1799328,-55.09427378,-884.4102088,308.535826,-244.019351,1242.789414,-263.3855813,563.3791686,148.9820989,473.3037881,209.6782064
Psub13,suberosa,13,14,2,-21.92608606,313.3672596,-24.52893932,300.0460056,-16.61207833,278.5272233,17.54886084,281.6147145,39.18012141,299.4752097,31.16970465,310.3144932,-594.3005116,222.0683069,-654.1830459,145.4206197,-980.0741634,-410.8048928,-390.5961435,-311.7026143,23.92725977,-1140.483701,400.9713887,-339.946894,972.0065928,-382.698306,639.5805629,174.2712243,557.836477,260.5313513
Psub13,suberosa,14,14,1,-25.19186679,322.2003382,-33.36418981,311.2479383,-22.16659849,293.0990444,11.70984711,289.332768,37.37867836,306.8622085,25.56454557,318.8528133,-567.0805171,315.6673837,-615.8953568,240.749687,-737.9068218,-411.8175732,-515.5521448,-461.5815245,19.72169708,-1240.649876,535.3789035,-486.1838112,773.8647235,-443.4141906,603.5502819,294.034561,509.9888186,351.6002333
Psub13,suberosa,5,14,10,-13.22153745,249.1352071,-16.22434958,241.7301488,-9.433394685,226.7023236,7.666595161,223.4415868,18.7356713,236.3817705,16.25505227,247.9782329,-394.4065881,200.2453696,-467.1943891,164.3856429,-1092.113854,-327.7409108,-219.356297,-106.7654872,37.66699134,-1327.928816,206.256252,-104.5762794,1120.178697,-354.0487013,425.6414662,187.9264754,379.549684,243.1334369
